Case ID,File ID,File Name
11BR054,c75ff4f6-42d1-422a-aa41-23a2cb8ba15c,435866be-7544-48cc-954f-17748e1580c0.rna_seq.augmented_star_gene_counts.tsv
14BR005,8dcac4b9-2f7e-4208-a940-7325275613b9,c5b72fde-2cf0-4dbc-8cde-41840080d542.rna_seq.augmented_star_gene_counts.tsv
05BR042,f4dda08d-b8e2-405d-af0d-685bfc7d134d,64e4c231-1793-44a8-8e80-b050658b42d6.rna_seq.augmented_star_gene_counts.tsv
11BR017,40d867ea-3f9b-4c44-8fae-d8bacc7aa06b,f3f750a9-5492-4d70-927a-0b091fea2f69.rna_seq.augmented_star_gene_counts.tsv
14BR014,00997ac4-8cc4-4c90-a2ab-d4a36068faf0,4dc10240-c4ca-4b92-866b-af1542575fc8.rna_seq.augmented_star_gene_counts.tsv
11BR059,1bd6c83b-8862-4ebd-b9f6-b77da318c3ae,3692f9df-5b70-4cfb-a504-ed2cb4164ac3.rna_seq.augmented_star_gene_counts.tsv
11BR050,342704d4-8c63-4d8c-998d-42d0b7ac226c,5f173a3c-89f0-41c9-bbd8-5256a0489d4e.rna_seq.augmented_star_gene_counts.tsv
05BR005,c688eec0-521a-452c-935c-c6a25137b9bb,ea6ae785-68fc-435e-8c7b-c09682c018d3.rna_seq.augmented_star_gene_counts.tsv
18BR016,c36845ad-fabb-45a8-a685-ef4e458008e7,49379b08-1e67-4666-88d6-2791428b9d62.rna_seq.augmented_star_gene_counts.tsv
11BR015,1f24be7a-d89b-4d68-8f77-b9f5a97f7653,1783266a-bcae-4f80-856c-dafc23b65006.rna_seq.augmented_star_gene_counts.tsv
01BR042,8b0250e2-2e7a-4a05-a9bf-2f4f2c1cfbcd,17c51f0c-6347-4fb4-ae8c-e7933b605b7e.rna_seq.augmented_star_gene_counts.tsv
11BR016,0a060993-3071-493a-aafc-c5566952c306,89b5ed3c-3a44-4e0b-8258-02290c6c5abe.rna_seq.augmented_star_gene_counts.tsv
03BR010,05b2916c-33f2-4434-8caf-31ec72deba8b,fcdc30f9-f2d0-4fe9-93f7-fe3ca91e826c.rna_seq.augmented_star_gene_counts.tsv
01BR033,7c1ae8c5-7d2f-4dc6-8095-595170e18ef8,7d207f6d-7de9-40db-8f06-0ba1ce1314e2.rna_seq.augmented_star_gene_counts.tsv
11BR030,215df61b-4716-472d-a4d1-c3c892794930,4ce4d688-ce22-43bf-817b-393ee751da34.rna_seq.augmented_star_gene_counts.tsv
11BR028,238c5d80-b1f3-4838-9523-cdb0db4f8c62,8256500e-ea1f-487e-9b69-7e6f6c992334.rna_seq.augmented_star_gene_counts.tsv
05BR045,1d45815b-4128-4a12-a743-254f2e0e9059,ba0570bd-508d-4b93-b147-365af6a86241.rna_seq.augmented_star_gene_counts.tsv
05BR004,aa4299bc-6875-4151-9b99-f382b2f2772a,4ebec7e0-8377-4c46-b153-d7b084aa7cab.rna_seq.augmented_star_gene_counts.tsv
05BR009,f95c7316-0bd3-4bef-8dec-8147a8993aff,2d5c7af9-63ae-4461-847a-79d379cb59f6.rna_seq.augmented_star_gene_counts.tsv
18BR009,81bd3822-ed31-40df-a016-7dba692bb467,116b9b65-ffc3-4cd6-8a08-aa3e28f76269.rna_seq.augmented_star_gene_counts.tsv
11BR031,766e40a6-91b9-4b1e-9112-6b03e8a1ac42,fb9b328b-eaa7-4372-9444-fc75fbf8a0c5.rna_seq.augmented_star_gene_counts.tsv
11BR049,16fc3906-0376-4326-9f05-b4569063b115,b1aeced1-1b77-41ac-92ee-189f94c1650f.rna_seq.augmented_star_gene_counts.tsv
01BR001,6073d392-98af-4547-a2f5-78d1e7d2dafb,f6591087-c0c2-4afb-949e-cba3689cb3ca.rna_seq.augmented_star_gene_counts.tsv
18BR019,3522be45-6468-4b93-8780-640e67409769,4b987a90-4779-4930-9206-69ea483acbac.rna_seq.augmented_star_gene_counts.tsv
11BR074,3af9834e-d284-40c5-bce5-c5ff59ac9983,b5b99dc0-b9e7-4b80-89cd-f42e9b2ed710.rna_seq.augmented_star_gene_counts.tsv
01BR008,27040011-7f52-4d1f-96d9-b8d75986afc0,f18e4f29-844f-4cec-ad36-0ebe9491ed3d.rna_seq.augmented_star_gene_counts.tsv
11BR080,f340e45e-821e-4352-8756-386c01f42771,de6ffb0a-19a8-46c2-9a45-1e2ea082ee86.rna_seq.augmented_star_gene_counts.tsv
